Paper #,Year,Paper Title,Journal,Authors,Focus of the Paper,Models Used,Methodology Used,Limitation or Gap,Real-time Evacuation -considered,Wildfire spread Model -developed,Community Aspect -considered,Interaction with other infrastructure failure- considered,Generalization,Future Direction,link,Note,Keyword
23,2024,"Systematic review and research gaps on wildfire evacuations:
infrastructure, transportation modes, networks, and planning","Transportation Planning and Technology,
Taylor & Francis",Syeda Narmeen Zehra & Stephen D. Wong,"The paper focuses on understanding wildfire evacuation challenges from a transportation systems perspective. It systematically reviews existing research to examine how transportation infrastructure, transportation modes, road networks, and evacuation planning influence wildfire evacuation efficiency and community safety.

The study aims to identify research gaps and propose future directions for improving evacuation strategies in wildfire-prone regions.

Specifically, the review addresses four research questions:

How wildfire affects transportation infrastructure before, during, and after evacuation.

What transportation modes (beyond private vehicles) can support evacuations.

How road network performance and congestion influence evacuation outcomes.

What transportation planning strategies are used for wildfire evacuations."," Models Used in the Literature Reviewed

The paper itself is a review study, so it does not develop a new model. Instead, it summarizes models used in prior wildfire evacuation research, including:

Optimization and Routing Models

Vehicle routing models for bus evacuations

Stochastic routing models considering road closures and traffic uncertainty

Bi-level optimization models for evacuation flow and shelter assignment

Network Analysis Models

Road network connectivity and redundancy analysis

Traffic flow optimization models

Bottleneck and congestion analysis models

Behavioral Models

Binary choice models for evacuation decisions (mode choice, shelter choice)

Portfolio choice models for multiple evacuation decisions

Data-driven Models

GPS-based traffic flow analysis

Cellular data mobility models for evacuation pattern detection

These models are used to analyze evacuation timing, route choice, congestion, and resource allocation.","The study uses a systematic literature review methodology.

Time period

Literature from 2000–2022

Databases used

The authors searched four major academic databases:

Scopus

Web of Science

Taylor & Francis

TRID (Transportation Research Index)","Existing research lacks comprehensive empirical studies on wildfire evacuation transportation systems, particularly infrastructure resilience, multi-modal evacuation strategies, and integrated planning with other critical infrastructure systems.",,,,,,,https://www.tandfonline.com/doi/pdf/10.1080/03081060.2024.2348713,,Wildfire Real time evacuation
24,2019,"Escape Route Index: A Spatially-Explicit Measure of
Wildland Firefighter Egress Capacity",Fire,"Michael J. Campbell 1,* , Wesley G. Page 2, Philip E. Dennison 3 and Bret W. Butler 2","The focus of this paper is to develop and apply a spatial modeling approach to evaluate wildfire firefighter escape routes and evacuation capability across landscapes. The study introduces an Egress Route Index (ERI) to quantify how easily firefighters can evacuate from a location to a safety zone during a wildfire.

Specifically, the paper aims to:

1. Map and assess evacuation capacity for wildland firefighters in different terrain and vegetation conditions.
2. Analyze how landscape factors (slope, vegetation density, and land cover) affect travel speed and evacuation ability.
3. Identify locations with safe and unsafe escape routes to reduce the risk of firefighter entrapment during wildfire operations.
4. Provide a decision-support tool for wildfire management and operational planning before firefighting crews engage with fires.","1. Egress Route Index (ERI) Model: The primary model developed in the paper is the Egress Route Index (ERI).

Purpose: To measure how easily firefighters can evacuate from a location to a safety zone within a given time.

Concept:
ERI compares:
1. Actual travel distance under real terrain and vegetation conditions
2. Optimal travel distance if no landscape barriers existed

The ERI value ranges from 0 to 1:
ERI ? 1 ? high evacuation capacity (safer escape route)
ERI ? 0 ? low evacuation capacity (high entrapment risk)
2. Least-Cost Path / Cost Distance Model: The study uses a least-cost path modeling approach to simulate firefighter movement across terrain.
1. Travel cost is calculated for each raster cell
2. Cost depends on slope and vegetation resistance
3. The model estimates the fastest escape path to safety zones
4. This was implemented using cost accumulation algorithms in GIS.
3. Dijkstra Shortest Path Algorithm: The travel time from each location is computed using Dijkstra’s shortest path algorithm.
Purpose: Calculate the minimum travel time across the landscape
Determine reachable areas within specific evacuation times (10, 20, 30 minutes)
4. Travel Rate Model (Slope–Travel Relationship): The model incorporates a travel rate model based on slope derived from crowdsourced fitness tracker data.
This relationship estimates how slope affects human walking speed in wildfire terrain.

Inputs include: Slope from DEM, Land cover / vegetation density, Terrain roughness

These variables adjust the travel speed of firefighters during evacuation.","The study develops a GIS-based spatial modeling framework to evaluate wildfire firefighter evacuation capability by mapping escape routes using an Egress Route Index (ERI).

First, the authors collected terrain and vegetation data for the Angeles National Forest, California. The key datasets included a Digital Elevation Model (DEM) to calculate slope and LANDFIRE land-cover data to represent vegetation density and landscape resistance. These variables influence how quickly firefighters can travel across the terrain.
Next, the researchers estimated travel rates across the landscape by combining slope effects and vegetation resistance. A previously developed crowdsourced relationship between slope and human travel speed was used to model how firefighters move through different terrain conditions. Land cover types were then used to modify travel speeds to reflect barriers such as dense vegetation.
Using these travel rates, the study implemented a least-cost path analysis in a raster-based GIS environment. The Dijkstra shortest-path algorithm was applied to compute the cumulative travel time from each location to surrounding areas across the landscape. This allowed the researchers to determine how far a firefighter could travel within specific time limits.
The model then generated travel polygons for different evacuation time frames (10, 20, and 30 minutes) representing the maximum distance firefighters could reach under existing terrain conditions. These results were compared with optimal travel conditions (without barriers) to calculate the Egress Route Index (ERI) for each location.
Finally, ERI values were mapped across the study area to identify locations with high or low evacuation capacity. The model outputs included relative safety maps and suggested travel directions, which can help wildfire managers identify safer operational zones and escape routes before engaging with fires.","Research Gap

1. The study highlights the need for more accurate modeling of firefighter travel conditions by incorporating:
2. High-resolution vegetation structure data (e.g., LiDAR)
3. Continuous measures of vegetation density rather than categorical land-cover classes
4. More empirical datasets on firefighter travel speed and movement patterns across landscapes.",,,,,,,https://www.mdpi.com/2571-6255/2/3/40,,Wildfire Real time evacuation
25,2021,"Preparing for wildfire evacuation and alternatives: Exploring influences on
residents’ intended evacuation behaviors and mitigations",International Journal of Disaster Risk Reduction,"Amanda M. Stasiewicz a,*, Travis B. Paveglio b","The focus of this paper is to understand how residents in wildfire-prone areas decide whether to evacuate, stay and defend their property, or shelter in place during wildfire events. The study examines how demographic characteristics, perceptions of wildfire risk, and property mitigation actions influence these evacuation intentions among residents living in the wildland–urban interface (WUI). 

Specifically, the research investigates:

1. Different evacuation strategies residents intend to follow during wildfires (evacuate, stay and defend, or shelter in place).
2. How wildfire mitigation actions (such as fuel reduction and defensible space around homes) relate to these evacuation intentions.
3. The influence of socio-demographic factors, residency status, and perceptions of personal preparedness on evacuation decision-making","The study uses a multinomial logistic regression model to analyze the relationship between residents’ characteristics and their intended wildfire evacuation behavior.
The dependent variable represents three possible evacuation intentions:

Evacuate

1. Stay and Defend (SD) – residents remain and actively protect their property
2. Shelter in Place / Unsure (SIP)
3. “Evacuate” is used as the reference category in the regression model.
The model evaluates how several independent variables influence the probability of residents choosing one evacuation strategy over another. These variables include:

Demographic factors: age, gender, presence of children

Residency status: full-time vs part-time residents
1. Perceptions of wildfire preparedness and self-efficacy
2. Property mitigation actions, such as fuel reduction and defensible space around homes
3. The regression model estimates odds ratios and confidence intervals to determine which factors significantly increase or decrease the likelihood of residents choosing stay-and-defend or shelter-in-place strategies compared with evacuation","The study adopts a survey-based quantitative research methodology to analyze wildfire evacuation intentions among residents in the wildland–urban interface (WUI).

First, the researchers conducted a community survey in Pend Oreille County, Washington (USA) targeting residents living in wildfire-prone areas. The survey collected information on demographics, residency status, wildfire preparedness, mitigation actions around homes, and perceptions of wildfire risk and firefighting capacity. Next, respondents were categorized into three evacuation intention groups based on their responses:

Evacuate

Stay and Defend (SD)

Shelter in Place / Unsure (SIP)

These categories represent different strategies residents might adopt during wildfire events.","Single geographic case study
The research was conducted only in Pend Oreille County, Washington, which may limit the generalizability of the findings to other wildfire-prone regions with different social, geographic, or infrastructure conditions.

Self-reported survey responses
The study relies on self-reported intentions from residents, which may not reflect actual behavior during a real wildfire emergency. People’s planned actions may differ from their real decisions under stress.

Focus on intended behavior rather than real evacuation events
The analysis examines evacuation intentions instead of actual evacuation outcomes during wildfire incidents, so the model cannot fully capture real-time decision dynamics.

Limited consideration of external constraints
The study mainly focuses on demographic and perception factors and does not fully account for transportation infrastructure, road capacity, wildfire spread conditions, or emergency management policies, which can strongly influence evacuation feasibility.

Cross-sectional dataset
The data were collected at a single time period, so the study cannot analyze how residents’ perceptions and evacuation strategies evolve over time or after experiencing wildfire events.",,,,,,,https://www.sciencedirect.com/science/article/pii/S2212420921001436,,Wildfire Real time evacuation
26,2023,"The analysis of traffic data of wildfire evacuation: the case study of the 2020
Glass Fire",Fire Safety Journal,"Arthur Rohaert 
, Nima Janfeshanaraghi 
, Erica Kuligowski 
, Enrico Ronchi ","The focus of this paper is to analyze traffic dynamics during wildfire evacuations and improve the calibration and validation of traffic models used for evacuation planning. The study investigates how traffic flow, speed, and road capacity change during wildfire evacuation events compared to normal traffic conditions.

Specifically, the research aims to:

1. Develop a methodology to analyze real traffic data during wildfire evacuations.
2. Understand how evacuation behavior and background traffic affect traffic performance on highways.
3.Improve the accuracy of traffic-based wildfire evacuation models by using real-world traffic data for calibration and validation.

Support better evacuation planning and decision-making during wildfire emergencies.","The study mainly uses macroscopic traffic flow models to analyze traffic behavior during wildfire evacuations.

1. Macroscopic Traffic Flow Model: The core modelling approach is macroscopic traffic modelling, where traffic dynamics are described using three key variables:

Speed (v) – average vehicle speed

Density (k) – number of vehicles per unit road length

Flow (q) – number of vehicles passing a point per unit time

These variables follow the fundamental traffic flow equation: q=k×v

This framework is used to analyze how traffic conditions change during wildfire evacuations compared to normal traffic conditions.
2. Speed–Density Traffic Models: To represent the relationship between traffic speed and traffic density, the paper calibrates several well-known speed–density models, including:

1. Daganzo triangular traffic model
2. Van Aerde–Rakha traffic stream model
3. Cheng S-shaped traffic stream model
These models are fitted to real traffic detector data to understand evacuation traffic patterns and estimate road capacity during wildfire events. 
3. Machine Learning Regression Models: The methodology also includes non-parametric machine learning regression models to analyze traffic patterns and support calibration of evacuation traffic models.
4. Traffic Dynamics Analyser (TDA): The authors implement the modeling framework within a tool called the Traffic Dynamics Analyser (TDA), which processes highway detector data to:
 a. extract wildfire evacuation traffic datasets
b. analyze traffic flow changes
c. calibrate evacuation traffic models using real-world data.","The study analyzes real highway traffic data from the 2020 Glass Fire using the Traffic Dynamics Analyser (TDA), calibrates macroscopic speed–density traffic models with detector data, and applies machine learning regression to evaluate traffic behavior during wildfire evacuations.","1. Limited case study scope: The analysis is based mainly on one wildfire event (the 2020 Glass Fire in California). Traffic patterns from a single case study may not represent evacuation behavior in other wildfire events, regions, or road networks.
2. Focus on highway traffic only: The study relies on highway detector data (Caltrans PeMS), which means the analysis mainly captures traffic conditions on major roads. Traffic behavior on local roads, rural roads, and neighborhood evacuation routes is not represented.
3. Limited behavioral considerations: The model focuses on traffic flow dynamics and does not explicitly account for human evacuation behavior, such as departure timing, route choice decisions, or compliance with evacuation orders.
4. Static modeling assumptions: The traffic analysis does not fully incorporate dynamic wildfire conditions such as fire spread, road closures, smoke impacts, or emergency response operations that can significantly affect evacuation traffic.
5. Need for integration with evacuation simulation models: The study primarily improves traffic model calibration, but it does not integrate the findings into full evacuation simulation frameworks or dynamic evacuation decision-support systems.",,,,,,,https://www.sciencedirect.com/science/article/pii/S0379711223001777,,Wildfire Real time evacuation
27,2021,"Using Artificial Intelligence for Safe
and Effective Wildfire Evacuations",Fire Technology,"*Xilei Zhao, University of Florida, Gainesville, USA
Ruggiero Lovreglio, Massey University, Albany, New Zealand
Erica Kuligowski, National Institute of Standards and Technology,
Gaithersburg, USA
Daniel Nilsson, University of Canterbury, Christchurch, New Zealand","The focus of this paper is to explore how artificial intelligence (AI) can improve wildfire evacuation modelling and decision-making by enhancing traditional evacuation models used in emergency planning.

The study proposes a conceptual framework that integrates AI with existing wildfire evacuation models, particularly behavioral choice models and traffic simulation models, to better understand and predict how people respond during wildfire emergencies.
Specifically, the paper aims to:
1. Improve prediction of household evacuation decisions and timing during wildfire events.
2. Use machine learning and AI techniques to analyze complex relationships between variables influencing evacuation behavior.
3. Integrate evacuation behavior models with traffic simulation models to produce more realistic evacuation scenarios.
4. Support better emergency planning, evacuation strategies, and policy decisions for communities exposed to wildfire risk.","AI-based Choice Models – Machine learning models are used to predict household evacuation decision-making and timing during wildfire emergencies. 

Traffic Simulation Models – Microscopic or macroscopic traffic flow models simulate evacuation traffic, including trip generation, route assignment, and congestion dynamics. 

Integrated AI Evacuation Modeling Framework – The paper proposes a framework that combines conceptual models, AI algorithms, and engineering evacuation models to improve prediction accuracy and evacuation planning.","Conceptual Framework Development – The study proposes a framework that integrates conceptual evacuation behavior models, engineering evacuation models, and AI algorithms to improve wildfire evacuation modeling. 

Data-Driven Modeling Approach – The framework uses multiple data sources such as survey data, GPS mobility data, traffic count data, and wildfire damage data to train AI-based evacuation models. 

Integration with Evacuation Simulation – Machine learning models are applied to predict evacuation decision behavior, and the results are incorporated into traffic simulation models to generate more realistic wildfire evacuation scenarios.","Limited real-world application – The study mainly proposes a conceptual AI-based framework, and there are limited real-world implementations of the approach in actual wildfire evacuation systems. 

Dependence on large and high-quality datasets – AI models require extensive datasets (survey, GPS, traffic, and wildfire data), which may not always be available or consistent across regions. 
Integration challenges with existing models – Combining AI models with traditional evacuation choice and traffic simulation models can be complex and requires further research for reliable operational use in emergency management.",,,,,,,https://link.springer.com/article/10.1007/s10694-020-00979-x,,Wildfire Real time evacuation
28,2025,"AI-ENABLED WILDFIRE RISK MAPPING &
EMERGENCY NAVIGATION","2025 International Conference on Computational Robotics, Testing and Engineering Evaluation","Prema .S, C. Apparna,  M. Gayathri","The focus of this paper is to develop an AI-based system for wildfire risk mapping, prediction, and emergency evacuation navigation that improves disaster response and community safety.

Specifically, the study proposes an integrated AI framework that uses deep learning, natural language processing, and generative AI to:
1. Predict wildfire risk and identify high-risk zones using satellite imagery, climate data, and geographic features.
2. Simulate wildfire spread and support emergency planning using generative AI models trained on historical wildfire and environmental data.
3. Provide real-time evacuation guidance and emergency alerts by generating optimal escape routes and analyzing real-time reports from social media, emergency broadcasts, and citizens.
The system aims to enhance early warning systems, situational awareness, and evacuation decision-making, helping authorities and communities respond more effectively to wildfire disasters while reducing potential loss of life and property.","Convolutional Neural Networks (CNNs): CNNs are used to analyze satellite imagery and thermal sensor data to detect wildfire-prone areas and generate wildfire risk maps. These models help identify high-risk zones based on vegetation, terrain, and climate conditions. 
Conditional Generative Adversarial Networks (GANs): GANs are applied to simulate wildfire spread patterns under different environmental conditions such as wind speed, humidity, and terrain. This helps forecast how fires may propagate and supports emergency planning. 
Natural Language Processing (NLP – GPT-4): NLP models analyze social media posts, emergency reports, and news data to extract real-time wildfire information and generate multilingual emergency alerts for affected communities. 
A (A-Star) Pathfinding Algorithm*: The A* algorithm is used for evacuation route optimization, identifying the safest and shortest escape routes based on road conditions, fire locations, and real-time traffic data.","Multi-source Data Collection: The system collects input data from satellite imagery, climate and weather data, road network information, and social media reports. These datasets are used to analyze wildfire risk, detect fire locations, and support evacuation planning. 

AI-Based Processing and Prediction: Deep learning and generative AI models process the collected data to detect wildfire risk zones, simulate fire spread patterns, and analyze real-time situational information. CNN models analyze satellite images, while GAN models simulate potential wildfire propagation. 

Evacuation Route Optimization and Alert System: The system generates safe evacuation routes using the A pathfinding algorithm* and provides multilingual emergency alerts using NLP and text-to-speech technologies, enabling real-time decision support for emergency responders and communities.","1. Dependence on large and real-time datasets: The system relies heavily on satellite imagery, climate data, road network data, and social media reports, and the availability or quality of these datasets may vary across regions, affecting model accuracy. 

2. Limited real-world deployment and validation: The proposed framework is mainly a conceptual and prototype system, and it has not yet been extensively validated in real wildfire events or large-scale operational environments.

3. High computational and infrastructure requirements: The integration of multiple AI models (CNN, GAN, NLP, and routing algorithms) requires significant computational resources and advanced infrastructure, which may limit implementation in resource-constrained regions.",,,,,,,https://ieeexplore.ieee.org/abstract/document/11052930?casa_token=JBVvV3-ycIMAAAAA:LceZljbVYCVJVBwGGb8te74ZuyT_oQAco_vbocChvIjEPAO1b0eMENHDggglkD7m2Ap8Z8Rg3FA,,Wildfire Real time evacuation
29,2019,"Mobile Fire Evacuation System for Large
Public Buildings Based on Artificial
Intelligence and IoT",SPECIAL SECTION ON DATA MINING FOR INTERNET OF THINGS,HUIXIAN JIANG,"The focus of this paper is to develop an intelligent mobile-based fire evacuation system for large public buildings by integrating Artificial Intelligence and Internet of Things (IoT) technologies.

The study aims to:
1. Design a dynamic fire evacuation path planning model that can guide people safely to exits during building fires.
2. Use AI algorithms and sensor-based IoT systems to monitor fire conditions such as smoke, temperature, and carbon monoxide in real time.
3.Develop a mobile terminal evacuation guidance system that provides real-time navigation, alerts, and evacuation instructions to building occupants during emergencies.","1. Improved Ant Colony Optimization (ACO) Algorithm: Used to compute the optimal dynamic evacuation route by considering factors such as smoke concentration, temperature, and carbon monoxide levels during a fire. 

2. Grid-Based Evacuation Environment Model: The building layout is converted into a two-dimensional grid model, where nodes represent passages, obstacles, exits, and dynamic hazards to simulate evacuation scenarios. 
3. AI-IoT Integrated Evacuation System Model
A system architecture combining IoT sensors, GIS spatial analysis, and AI algorithms to monitor fire conditions and guide occupants through optimal evacuation paths using a mobile terminal application. 
","Building Environment Modeling:  The structure of a large public building (e.g., a shopping mall) is converted into a two-dimensional grid environment model, where nodes represent passages, exits, obstacles, and fire-affected areas for evacuation simulation. 

Dynamic Evacuation Path Optimization: An improved Ant Colony Optimization (ACO) algorithm is applied to compute the optimal evacuation route by considering dynamic fire factors such as smoke concentration, temperature, and carbon monoxide levels at different stages of fire development. 
IoT-Based Mobile Evacuation System Implementation: The evacuation model is integrated with IoT sensors, GIS spatial data, and a mobile application platform to monitor fire conditions and provide real-time evacuation guidance and alerts to building occupants.","Limited real-world validation: The model is mainly tested through simulation using a grid-based building environment, and large-scale real-life evacuation experiments are not conducted. 
Simplified human behavior modeling: The evacuation model does not fully capture complex human behaviors during emergencies, such as panic, crowd interactions, or decision uncertainty.

Dependence on IoT infrastructure: The proposed system relies heavily on sensors, RFID devices, and mobile terminals, which may not always be available or fully functional during fire emergencies.",,,,,,,https://ieeexplore.ieee.org/abstract/document/8708175,,wildfire evacuation planning AI model
30,2022,"Using Artificial Intelligence for Predicting the
Duration of Emergency Evacuation During
Hospital Fire","Disaster Medicine and Public
Health Preparedness","Ali Sahebi PhD1
, Katayoun Jahangiri MD, MPH, PhD2,3 , Ahmad Alibabaei PhD4 and
Davoud Khorasani-Zavareh MD, PhD5","The focus of this paper is to use machine learning techniques to predict the duration of hospital emergency evacuation during fire incidents in order to improve disaster preparedness and evacuation planning.

The study aims to:
1. Develop predictive models for estimating hospital evacuation time during fire emergencies using machine learning algorithms.
2. Analyze key factors affecting evacuation duration, such as hospital floors, patient mobility, patient transfer time, distance to safe location, age, weight, and gender.
3. Support hospital managers and emergency planners by providing data-driven predictions that help improve evacuation planning and decision-making during fire events.","1. Random Forest (RF) – An ensemble decision-tree model used to predict evacuation duration, which showed the highest prediction accuracy among all models. 
2. Support Vector Machine (SVM) – A supervised machine learning algorithm used for classification and regression analysis to estimate evacuation time. 
3. Artificial Neural Network (ANN) – A neural network model designed to capture complex nonlinear relationships between evacuation factors and evacuation duration. 
4. Naive Bayes Classifier (NBC) – A probabilistic machine learning model based on Bayes’ theorem used to predict evacuation time based on multiple influencing variables.","Simulation-Based Data Collection: A hospital fire evacuation scenario was simulated using data from 190 patients, considering factors such as hospital floors, patient mobility, transfer time, preparation time, distance to safe location, age, weight, and gender. 
Data Preprocessing and Feature Selection: The collected data were normalized and analyzed, and feature ranking methods (Information Gain, Gain Ratio, and Gini index) were used to identify the most influential factors affecting evacuation duration. 
Machine Learning Modeling and Validation: Supervised machine learning models (RF, SVM, ANN, and Naive Bayes) were trained using 5-fold cross-validation, and model performance was evaluated using AUC, sensitivity, specificity, and confusion matrix metrics.","Limited number of input variables: The machine learning model used only a small set of evacuation factors, which may not capture all real-world variables influencing hospital evacuation during fires. 
Simulation-based dataset: The study relies on simulated evacuation scenarios rather than real fire evacuation events, which may limit the accuracy of predictions in real emergencies.
Single hospital case study: The model was developed using data from one hospital environment, so the results may not be fully generalizable to other hospitals with different layouts, resources, or evacuation procedures.",,,,,,,https://www.cambridge.org/core/journals/disaster-medicine-and-public-health-preparedness/article/using-artificial-intelligence-for-predicting-the-duration-of-emergency-evacuation-during-hospital-fire/C51CAFE8FC3E80BF6E5808DD43B30D16,,wildfire evacuation planning AI model
31,2009,"Dynamic GIS Case Studies: Wildfire
Evacuation and Volunteered Geographic
Information",Transactions in GIS,"Edward Pultar
Department of Geography
University of California, Santa Barbara
Martin Raubal, same 
Thomas J Cova
Department of Geography
University of Utah
Michael F Goodchild, same",1. Developing a GIS-based wildfire risk assessment model using multi-criteria decision analysis (MCDA),"1. Selection of Risk Factors: vegetation / fuel type, slope, elevation, aspect, distance to roads, distance to settlements
2. Weight Assignment: Weights assigned based on expert judgment and relative importance of factors
GIS-based overlay combines all factors:
Risk = ? (weight × factor value)",Spatial Risk Mapping: Produces continuous wildfire risk surfaces,"1. No wildfire spread simulation
2. No real-time modeling
3. No machine learning / AI -only static modeling of risk based on judgement
4.  No infrastructure failure modeling
5.No evacuation modeling",,,,,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-9671.2009.01157.x?casa_token=oY6z1GwteagAAAAA:Apynk6o82YKqKvI2gfiZ9nB9DTB_knWVIlfHBlpvXK-rTyDXvzCe3P_rSl2PSYiZswhbdhjnq1ZULzr1,,"wildfire  ""real-time""  evacuation modeling"
32,2026,"Characterizing and Predicting Wildfire Evacuation
Behavior: A Dual-Stage ML Approach",ArXiV,"Sazzad Bin Bashar Polock,
Anandi Dutta, Ph.D.,
Subasish Das
Ingram School of Engineering
Texas State University
San Marcos, TX, USA
subasish@txstate.edu",Understanding and predicting wildfire evacuation behavior using a combination of unsupervised and supervised machine learning.,"The study adopts a dual-stage machine learning framework to model wildfire evacuation behavior by combining both exploratory and predictive techniques. First, the authors preprocess survey data collected from wildfire-prone regions, encoding categorical variables and defining key outcomes such as evacuation timing (early vs. late) and transportation mode. In the unsupervised stage, methods including Multiple Correspondence Analysis (MCA), K-Modes clustering, and Latent Class Analysis (LCA) are applied to uncover latent behavioral typologies among households, capturing variations in preparedness, mobility resources, and decision-making patterns. These clusters reveal that evacuation behavior exists along a continuum shaped by household characteristics. In the supervised stage, classification models such as Logistic Regression, Random Forest, and XGBoost are trained (using a train–test split) to predict evacuation outcomes based on these features, with model performance evaluated using metrics like accuracy, F1-score, and ROC-AUC. The results show that while transportation mode can be predicted with high reliability from structural household attributes, evacuation timing remains difficult to model due to its dependence on dynamic, real-time fire conditions. Overall, the modeling approach integrates behavioral pattern discovery with predictive analytics, but remains limited by its reliance on static survey data rather than real-time hazard inputs.",This is a study where survey data is analyzed in two stages,"1. No wildfire spread simulation
2. No real-time modeling
3. No machine learning / AI -only static modeling of risk based on judgment
4.  No infrastructure failure modeling
5.No evacuation modeling
This captures the community aspect of the evacuation, the drivers of the evacuation",,,,,,,https://arxiv.org/abs/2603.02223,,"wildfire  ""real-time""  evacuation modeling"
